FID,id,site_id,country,owner,area_name,status,farmtype,prod_method,prod_stage,purpose,species,position_info,point_def,distance_to_shore_m,costal_inland,the_geom,eurostatcode,species_group,species_name,speciesid,x,y
shellfish.3985,7009,FR_0033,France,n.a.,SUD DU GOIS : LA FOSSE,n.a.,Clams,n.a.,n.a.,n.a.,Clams,Polygon centroid,Production area,342.20480559,At sea,POINT (-2.14407919299993 46.913162104),F56,"Clams, cockles, arkshells",n.a.,131,-2.14407919299993,46.913162104
shellfish.4020,6926,FR_0069,France,n.a.,Baie du Mont Saint Michel Rivage,n.a.,Clams,n.a.,n.a.,n.a.,Clams,Polygon centroid,Production area,2081.10707962,At sea,POINT (-1.75157331099996 48.6269313330001),F56,"Clams, cockles, arkshells",n.a.,131,-1.75157331099996,48.6269313330001
shellfish.4233,1463,IE_0072,Ireland,n.a.,n.a.,Licensed,Clams,n.a.,n.a.,n.a.,Clams,Polygon centroid,Farm,447.74750382,At sea,POINT (-8.54906988899995 54.3259708310001),F56,"Clams, cockles, arkshells",n.a.,131,-8.54906988899995,54.3259708310001
shellfish.4275,1405,IE_0133,Ireland,n.a.,n.a.,Licensed,Clams,n.a.,n.a.,n.a.,Clams,Polygon centroid,Farm,1094.92605066,At sea,POINT (-8.52054465599997 54.2899207360001),F56,"Clams, cockles, arkshells",n.a.,131,-8.52054465599997,54.2899207360001
shellfish.4277,1415,IE_0135,Ireland,n.a.,n.a.,Licensed,Clams,n.a.,n.a.,n.a.,Clams,Polygon centroid,Farm,655.99649237,At sea,POINT (-8.51327601099996 54.2919731970001),F56,"Clams, cockles, arkshells",n.a.,131,-8.51327601099996,54.2919731970001
shellfish.4278,1416,IE_0136,Ireland,n.a.,n.a.,Licensed,Clams,n.a.,n.a.,n.a.,Clams,Polygon centroid,Farm,483.6851712,At sea,POINT (-8.51329833699998 54.2937698330001),F56,"Clams, cockles, arkshells",n.a.,131,-8.51329833699998,54.2937698330001
shellfish.4283,1413,IE_0141,Ireland,n.a.,n.a.,Licensed,Clams,n.a.,n.a.,n.a.,Clams,Polygon centroid,Farm,988.95638846,At sea,POINT (-8.51747359499996 54.2899339410001),F56,"Clams, cockles, arkshells",n.a.,131,-8.51747359499996,54.2899339410001
shellfish.4284,1414,IE_0142,Ireland,n.a.,n.a.,Licensed,Clams,n.a.,n.a.,n.a.,Clams,Polygon centroid,Farm,828.75499787,At sea,POINT (-8.51325368699997 54.2901765510001),F56,"Clams, cockles, arkshells",n.a.,131,-8.51325368699997,54.2901765510001
shellfish.4717,974,IE_0676,Ireland,n.a.,n.a.,Licensed,Clams,n.a.,n.a.,n.a.,Clams,Polygon centroid,Farm,423.89125077,At sea,POINT (-8.53713337399995 54.3217251130001),F56,"Clams, cockles, arkshells",n.a.,131,-8.53713337399995,54.3217251130001
shellfish.4946,742,IE_0923,Ireland,n.a.,n.a.,Licensed,Clams,n.a.,n.a.,n.a.,Clams,Polygon centroid,Farm,11.00714902,Within the coastline,POINT (-8.58677362999993 54.3432291600001),F56,"Clams, cockles, arkshells",n.a.,131,-8.58677362999993,54.3432291600001
