FID,id,site_id,country,owner,area_name,status,farmtype,prod_method,prod_stage,purpose,species,position_info,point_def,distance_to_shore_m,costal_inland,the_geom,eurostatcode,species_group,species_name,speciesid,x,y
shellfish.45,466,DK_0002,Denmark,Blå Biomasse A/S,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,426.67713088,At sea,POINT (8.58432373200003 56.552010798),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.58432373200003,56.552010798
shellfish.46,467,DK_0003,Denmark,Optiflow v/ Arne Bækgaard,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,771.79426931,At sea,POINT (8.49402868500005 56.7698644170001),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.49402868500005,56.7698644170001
shellfish.47,468,DK_0005,Denmark,Seafood Limfjord Aps,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,571.42621566,At sea,POINT (8.85072379300004 56.8362481360001),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.85072379300004,56.8362481360001
shellfish.48,469,DK_0006,Denmark,Seafood Limfjord Aps,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,532.1671,At sea,POINT (8.92044304400002 56.7908092660001),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.92044304400002,56.7908092660001
shellfish.51,472,DK_0012,Denmark,Limfjord Mussel Culture Aps,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,409.8992296,At sea,POINT (9.15179155600003 56.6962679000001),MUS,Mussels,Blue mussels - Mytilus edulis,127,9.15179155600003,56.6962679000001
shellfish.52,473,DK_0013,Denmark,Limfjord Mussel Culture Aps,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,793.89131418,At sea,POINT (9.14667681900005 56.741454096),MUS,Mussels,Blue mussels - Mytilus edulis,127,9.14667681900005,56.741454096
shellfish.53,474,DK_0014,Denmark,Shellfish Limfjord Aps,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,665.13638478,At sea,POINT (8.69868317300006 56.674155936),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.69868317300006,56.674155936
shellfish.54,475,DK_0015,Denmark,Shellfish Limfjord Aps,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,653.88052598,At sea,POINT (8.85605175200004 56.6990981650001),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.85605175200004,56.6990981650001
shellfish.55,476,DK_0016,Denmark,Wittrup Seafood A/S,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,650.74217965,At sea,POINT (9.19186630900003 56.7163276640001),MUS,Mussels,Blue mussels - Mytilus edulis,127,9.19186630900003,56.7163276640001
shellfish.56,477,DK_0017,Denmark,Seafood Limfjord Aps,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,1023.62361949,At sea,POINT (8.86684287900005 56.824722255),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.86684287900005,56.824722255
shellfish.57,478,DK_0018,Denmark,Seafood Limfjord Aps,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,464.15265242,At sea,POINT (8.83209853500006 56.694800818),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.83209853500006,56.694800818
