FID,id,site_id,country,owner,area_name,status,farmtype,prod_method,prod_stage,purpose,species,position_info,point_def,distance_to_shore_m,costal_inland,the_geom,eurostatcode,species_group,species_name,speciesid,x,y
shellfish.4166,6862,FR_0207,France,n.a.,Seudre-amont,n.a.,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Production area,10566.6555751,Within the coastline,POINT (-0.99419243799997 45.713971771),F53,Oysters,n.a.,128,-0.99419243799997,45.713971771
shellfish.4297,1395,IE_0157,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,38.25506682,At sea,POINT (-8.16269098299995 54.633716463),F53,Oysters,n.a.,128,-8.16269098299995,54.633716463
shellfish.4298,1396,IE_0158,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,244.83130592,At sea,POINT (-8.16708279199997 54.6306566900001),F53,Oysters,n.a.,128,-8.16708279199997,54.6306566900001
shellfish.4299,1397,IE_0159,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,62.18685571,At sea,POINT (-9.85999167799997 52.119257342),F53,Oysters,n.a.,128,-9.85999167799997,52.119257342
shellfish.4300,1315,IE_0161,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,246.78153721,At sea,POINT (-7.29362254099993 55.296457268),F53,Oysters,n.a.,128,-7.29362254099993,55.296457268
shellfish.4301,1316,IE_0162,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,1374.64410452,At sea,POINT (-9.87120185899994 52.1375583940001),F53,Oysters,n.a.,128,-9.87120185899994,52.1375583940001
shellfish.4302,1317,IE_0163,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,557.41327718,At sea,POINT (-7.58668084599998 52.0580812600001),F53,Oysters,n.a.,128,-7.58668084599998,52.0580812600001
shellfish.4303,1318,IE_0164,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,934.31769235,At sea,POINT (-7.58032545299994 52.0593611740001),F53,Oysters,n.a.,128,-7.58032545299994,52.0593611740001
shellfish.4304,1311,IE_0165,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,186.22127091,At sea,POINT (-7.29585243799994 55.2987686540001),F53,Oysters,n.a.,128,-7.29585243799994,55.2987686540001
shellfish.4311,1325,IE_0172,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,611.34265832,At sea,POINT (-6.15116603499996 54.0353214570001),F53,Oysters,n.a.,128,-6.15116603499996,54.0353214570001
shellfish.4312,1319,IE_0173,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,344.63961091,At sea,POINT (-6.12406142899994 54.0242618250001),F53,Oysters,n.a.,128,-6.12406142899994,54.0242618250001
shellfish.4315,718,IE_0176,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,0.06143338,Within the coastline,POINT (-9.07615248699994 53.1327482030001),F53,Oysters,n.a.,128,-9.07615248699994,53.1327482030001
shellfish.4316,1299,IE_0177,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,69.632924740000007,At sea,POINT (-8.60245162399997 54.2276958200001),F53,Oysters,n.a.,128,-8.60245162399997,54.2276958200001
